_id,head,normalized_head
3327,balúsbus,balusbus
3328,balúskag,baluskag
3329,balút,balut
3330,balúta,baluta
3331,balútu,balutu
3332,balúybuy,baluybuy
3333,balúyut,baluyut
3334,balwárti,balwarti
3335,balyákag,balyakag
3336,pamalyákag,pamalyakag
3337,balyína,balyina
3338,bályu,balyu
3339,bám,bam
3340,qatúmik,atumik
3341,haydrúdyin,haydrudyin
3343,bámba,bamba
3344,bámban,bamban
3345,bámbu,bambu
3346,bámqi,bam-i
3347,bámiŋ,baming
3348,bámir,bamir
3349,bámir,bamir
3350,bámpir,bampir
3351,bampíra,bampira
3352,bámus,bamus
3353,bána,bana
3354,pamána,pamana
3355,pamanhunún,pamanhunun
3356,banabána,banabana
3357,banáq,bana
3358,kabanáq,kabana
3359,pakabanáq,pakabana
3360,díliq,dili
3362,banaqbánaq,banabana
3363,banáq,bana
3364,banáqag,banaag
3365,banabá,banaba
3366,banág,banag
3367,banagán,banagan
3368,pamanagán,pamanagan
3369,banagbánag,banagbanag
3370,banáhaw,banahaw
3371,banahíqan,banahian
3372,bának,banak
3373,banál,banal
3374,banásay,banasay
3375,banáta,banata
3376,bánaw,banaw
3377,banawán,banawan
3378,banawúg,banawug
3379,banáwug,banawug
3380,banáwug,banawug
3381,banáwgan,banawgan
3382,bánay,banay
3383,pamánay,pamanay
3384,bánay,banay
3385,kabánay,kabanay
3386,kabánayan,kabanayan
3387,bánay,banay
3388,bánban,banban
3389,banbánun,banbanun
3390,banbánun,banbanun
3391,bánda,banda
3393,bandabánda,bandabanda
3394,bánda,banda
3395,bánda,banda
3396,binandáhan,binandahan
3397,bandála,bandala
3398,bandána,bandana
3399,bánday,banday
3400,bándiq,bandi
3401,bandída,bandida
3402,bandídu,bandidu
3403,bandíha,bandiha
3404,bandíhadu,bandihadu
3405,bandiháwu,bandihawu
3407,bandílaq,bandila
3408,bandílyu,bandilyu
3409,bandíra,bandira
3411,bandíyu,bandiyu
3412,bandmidyurít,bandmidyurit
3413,bándu,bandu
3414,bándu,bandu
3415,bándul,bandul
3416,binándul,binandul
3417,bánduŋ,bandung
3418,bánduŋ,bandung
3419,bandurín,bandurin
3420,banduríya,banduriya
3421,bandúrya,bandurya
3422,banduryáhun,banduryahun
3423,bánduy,banduy
3424,bándyu,bandyu
3425,bandyubándyu,bandyubandyu
3426,baŋ,bang
3427,baŋá,banga
3428,kabaŋá,kabanga
3429,baŋáq,banga
3430,baŋáq,banga
3431,baŋáqag,bangaag
3432,báŋag,bangag
3433,baŋág,bangag
3435,qubúq,ubu
3436,báŋagun,bangagun
3437,báŋal,bangal
3438,pamáŋal,pamangal
3439,báŋal,bangal
3440,baŋálga,bangalga
3441,báŋan,bangan
3442,baŋán,bangan
3443,baŋnanán,bangnanan
3444,báŋan,bangan
3445,baŋáŋa,banganga
3446,báŋas,bangas
3447,báŋasun,bangasun
3448,báŋas,bangas
3449,baŋáti,bangati
3450,báŋaw,bangaw
3451,báŋaw,bangaw
3452,baŋawán,bangawan
3453,baŋawúg,bangawug
3454,baŋaybáŋay,bangaybangay
3455,baŋaybaŋayán,bangaybangayan
3456,baŋaybaŋayún,bangaybangayun
3457,báŋbaŋ,bangbang
3458,báŋday,bangday
3459,baŋdaybáŋday,bangdaybangday
3460,báŋgaq,bangga
3461,mamamáŋgaq,mamamangga
3462,mamaŋaqáy,mamangaay
3463,báŋgiq,banggi
3464,baŋgiqítan,banggiitan
3465,baŋgíra,banggira
3466,baŋgirahán,banggirahan
3467,báŋgis,banggis
3468,báŋgud,banggud
3469,baŋgúran,bangguran
3470,baŋgurán,bangguran
3471,báŋgun,banggun
3472,baŋgunún,banggunun
3473,báŋgun,banggun
3474,báŋgus,banggus
3475,báŋhag,banghag
3476,báŋhat,banghat
3477,báŋhaw,banghaw
3478,baŋhilíg,banghilig
3479,baŋhílig,banghilig
3480,baŋhitáw,banghitaw
3481,baŋhutín,banghutin
3482,baŋhutíŋ,banghuting
3483,báŋiq,bangi
3484,kabáŋiqan,kabangian
3485,báŋig,bangig
3486,báŋil,bangil
3487,baŋíl,bangil
3489,pamáŋil,pamangil
3490,baŋilbáŋil,bangilbangil
3491,baŋilíd,bangilid
3492,báŋin,bangin
3493,baŋiŋí,bangingi
3494,baŋíŋi,bangingi
3495,baŋís,bangis
3496,baŋisún,bangisun
3497,mabaŋís,mabangis
3498,baŋitáw,bangitaw
3499,báŋka,bangka
3500,baŋkadúr,bangkadur
3501,báŋkaq,bangka
3502,baŋkáqag,bangkaag
3503,hibaŋkaqágan,hibangkaagan
3504,kabaŋkaqágan,kabangkaagan
3505,báŋkal,bangkal
3506,baŋkarúta,bangkaruta
3507,baŋkarúti,bangkaruti
3508,báŋkat,bangkat
3509,báŋkaw,bangkaw
3510,pamáŋkaw,pamangkaw
3511,báŋkaw,bangkaw
3512,baŋkawbáŋkaw,bangkawbangkaw
3513,báŋkay,bangkay
3514,báŋkbuk,bangkbuk
3515,báŋkil,bangkil
3516,baŋkilán,bangkilan
3517,baŋkilíŋ,bangkiling
3518,baŋkílya,bangkilya
3519,baŋkílya,bangkilya
3520,baŋkíru,bangkiru
3521,baŋkíru,bangkiru
3522,baŋkíti,bangkiti
3523,pamaŋkíti,pamangkiti
3524,baŋkítu,bangkitu
3525,baŋkíwaq,bangkiwa
3526,baŋkiwág,bangkiwag
3527,baŋkíyu,bangkiyu
3528,baŋkiyúd,bangkiyud
3529,báŋkrap,bangkrap
3530,báŋku,bangku
3532,pamáŋku,pamangku
3533,báŋkuq,bangku
3534,baŋkulísan,bangkulisan
3535,baŋkulíya,bangkuliya
3536,báŋkuŋ,bangkung
3537,bináŋkuŋ,binangkung
3538,báŋkuŋ,bangkung
3539,báŋrus,bangrus
3540,baŋs,bangs
3541,báŋsi,bangsi
3542,pamáŋsi,pamangsi
3543,baŋú,bangu
3544,baŋúbaŋ,bangubang
3545,baŋúg,bangug
3546,baŋúg,bangug
3547,báŋqug,bang-ug
3548,baŋún,bangun
3549,baŋún,bangun
3550,báŋun,bangun
3551,baŋún,bangun
3552,baŋúŋut,bangungut
3553,baŋús,bangus
3554,baŋút,bangut
3555,baŋután,bangutan
3556,báŋyaw,bangyaw
3557,baŋyáw,bangyaw
3558,bánhaq,banha
3559,kabánhaq,kabanha
3560,bánhal,banhal
3561,bánhaw,banhaw
3562,bánhig,banhig
3563,bánhud,banhud
3564,banhutín,banhutin
3565,banhutíŋ,banhuting
3566,báni,bani
3567,bánqid,ban-id
3568,banidád,banidad
3569,baníg,banig
3570,hígdaq,higda
3572,baniká,banika
3573,banikánhun,banikanhun
3574,kabanikahán,kabanikahan
3575,baníku,baniku
3576,banílad,banilad
3577,banílya,banilya
3578,banítluŋ,banitlung
3579,baniqúg,baniug
3580,bánkil,bankil
3581,bankíyu,bankiyu
3582,bánlag,banlag
3583,bánlas,banlas
3584,bánlaw,banlaw
3585,paŋhimánlaw,panghimanlaw
3586,banlawán,banlawan
3587,banlawanán,banlawanan
3588,banlawunún,banlawunun
3589,bánlud,banlud
3590,bánlun,banlun
3591,bánlus,banlus
3592,bánlut,banlut
3593,bánsa,bansa
3594,bánsa,bansa
3595,bánsaq,bansa
3597,bánsag,bansag
3598,kabánsag,kabansag
3599,bansagún,bansagun
3600,bansalán,bansalan
3601,bánsay,bansay
3602,pakabánsay,pakabansay
3603,bansaybánsay,bansaybansay
3604,mabinansayún,mabinansayun
3605,bansíkul,bansikul
3606,bánsil,bansil
3607,bansíli,bansili
3608,bansiwág,bansiwag
3609,bántaq,banta
3610,bantaqbántaq,bantabanta
3611,bantáqaw,bantaaw
3612,bántak,bantak
3613,bántal,bantal
3614,bántam,bantam
3616,bántaŋ,bantang
3617,bantawán,bantawan
3618,bántay,bantay
3619,bantaybántay,bantaybantay
3622,balantayán,balantayan
3623,bantayanán,bantayanan
3624,himantayún,himantayun
3625,mabinantáyun,mabinantayun
3626,mabantáyun,mabantayun
3627,magbabántay,magbabantay
3628,magbalántay,magbalantay
3631,bantáyan,bantayan
3632,bantáyug,bantayug
3633,bántiq,banti
3634,bantigíq,bantigi
3635,bantílis,bantilis
3636,bántiŋ,banting
3637,bantiŋbántiŋ,bantingbanting
3638,bantíyuŋ,bantiyung
3639,bantíyuŋun,bantiyungun
3640,bántug,bantug
3643,pasibántug,pasibantug
3644,kabántuŋ,kabantung
3645,baŋtúgan,bangtugan
3646,bántuk,bantuk
3650,bántul,bantul
3651,bántul,bantul
3652,gibántul,gibantul
3653,bantúlay,bantulay
3654,bantulayán,bantulayan
3655,bantulináw,bantulinaw
3656,bantulínaw,bantulinaw
3657,bántut,bantut
3658,bantutún,bantutun
3659,bánu,banu
3660,banúg,banug
3661,bánug,banug
3662,banugún,banugun
3663,banugbánug,banugbanug
3664,talabanúg,talabanug
3665,bánug,banug
3666,bánqug,ban-ug
3667,bánquk,ban-uk
3668,bánquk,ban-uk
3669,banús,banus
3670,banús,banus
3671,bánus,banus
3672,banusbánus,banusbanus
3673,banúqut,banuut
3674,bánwa,banwa
3675,banwaqánun,banwaanun
3676,tagabánwa,tagabanwa
3677,tagibánwa,tagibanwa
3678,bánwa,banwa
3679,bánwag,banwag
3680,banwági,banwagi
3681,bánwas,banwas
3682,banyágaq,banyaga
3683,bányak,banyak
3684,banyirá,banyira
3685,bányu,banyu
3687,banyumaríya,banyumariya
3688,bányus,banyus
3689,pamányus,pamanyus
3690,bápul,bapul
3691,bápuls,bapuls
3692,bapúr,bapur
3695,bapurbápur,bapurbapur
3696,bár,bar
3697,bár,bar
3698,bár,bar
3699,bará,bara
3700,baradíru,baradiru
3701,baradiruhán,baradiruhan
3702,bára,bara
3705,barabára,barabara
3706,barabará,barabara
3707,barahán,barahan
3708,binará,binara
3709,baradíru,baradiru
3710,bárag,barag
3711,baragbárag,baragbarag
3712,baráha,baraha
3715,barahadúr,barahadur
3716,barák,barak
3717,bárak,barak
3718,baráka,baraka
3719,binaráka,binaraka
3720,barandílya,barandilya
3721,barandílyas,barandilyas
3722,báraŋ,barang
3723,baraŋán,barangan
3724,baráŋgay,baranggay
3725,barasbáras,barasbaras
3726,barásu,barasu
3727,barát,barat
3728,baratíra,baratira
3729,baratíru,baratiru
3730,baratíha,baratiha
3731,baratílyu,baratilyu
3732,pamaratílyu,pamaratilyu
3733,baratíru,baratiru
3734,barátu,baratu
3735,baratuhún,baratuhun
3736,barátu,baratu
3737,baráw,baraw
3738,báraw,baraw
3739,báraw,baraw
3740,báraw,baraw
3741,barawán,barawan
3742,baraybaráy,baraybaray
3743,barbahán,barbahan
3744,bárbas,barbas
3745,bárbas,barbas
3746,barbikiyú,barbikiyu
3747,bárbil,barbil
3748,barbiládu,barbiladu
3749,barbiláwu,barbilawu
3750,bárbir,barbir
3752,barbiríya,barbiriya
3753,barbíru,barbiru
3754,barbiruhán,barbiruhan
3755,barbityuríts,barbityurits
3756,barbulá,barbula
3757,bárbun,barbun
3758,barbuníru,barbuniru
3759,bárda,barda
3760,bardádu,bardadu
3761,bards,bards
3762,bárdut,bardut
3763,pamárdut,pamardut
3764,bárgas,bargas
3765,baríq,bari
3766,barikús,barikus
3767,baríl,baril
3768,baríl,baril
3769,barílis,barilis
3770,barílis,barilis
3771,barína,barina
3773,barínis,barinis
3774,barinúgan,barinugan
3775,barinuhán,barinuhan
3776,bárit,barit
3777,baríta,barita
3778,baritún,baritun
3779,baritunú,baritunu
3780,barkáda,barkada
3781,magbarkáda,magbarkada
3782,kabarkáda,kabarkada
3783,barkadúr,barkadur
3784,barkílyus,barkilyus
3785,bárku,barku
3788,barnáti,barnati
3789,bárnis,barnis
3790,bárpin,barpin
3791,bartíha,bartiha
3792,bartíndir,bartindir
3793,bartulína,bartulina
3794,bartuníku,bartuniku
3795,barú,baru
3796,báru,baru
3797,barúg,barug
3798,pamarúg,pamarug
3799,barugánan,baruganan
3800,barúgan,barugan
3801,barumbáda,barumbada
3802,barumbádu,barumbadu
3803,barumitír,barumitir
3804,barumítru,barumitru
3805,barúŋ,barung
3808,Pilipínu,pilipinu
3809,baruŋbáruŋ,barungbarung
3810,barúŋuy,barunguy
3811,barút,barut
3812,bárut,barut
3813,barútu,barutu
3814,pamarútu,pamarutu
3815,baryábli,baryabli
3816,báryu,baryu
3822,baryubáryu,baryubaryu
3823,baryuhánun,baryuhanun
3824,tagibáryu,tagibaryu
3825,katagibáryu,katagibaryu
3826,bás,bas
3827,bása,basa
3828,himasá,himasa
3829,kabasahún,kabasahun
3830,balasahún,balasahun
3831,magbabasá,magbabasa
3832,magbalasá,magbalasa
3833,qumbabása,umbabasa
3834,qumbalasá,umbalasa
3835,tigbása,tigbasa
3836,basáq,basa
3839,himásaq,himasa
3840,paŋhimásaq,panghimasa
3841,basáqun,basaun
3842,básag,basag
3843,básag,basag
3844,baság,basag
3845,basagbaság,basagbasag
3846,basagbásag,basagbasag
3847,basák,basak
3848,basakán,basakan
3849,basál,basal
3850,basályu,basalyu
3851,basályus,basalyus
3852,basályus,basalyus
3853,basaŋág,basangag
3854,basáŋag,basangag
3855,basár,basar
3856,basás,basas
3857,básas,basas
3858,básbas,basbas
3859,binásbas,binasbas
3860,binasbásan,binasbasan
3861,básbas,basbas
3862,básbas,basbas
3863,básbas,basbas
3864,básdak,basdak
3865,báshuy,bashuy
3866,bási,basi
3867,bási,basi
3869,bási,basi
3870,bási,basi
3871,básiq,basi
3872,basíbas,basibas
3873,basiliká,basilika
3874,basilín,basilin
3875,básin,basin
3876,pamásin,pamasin
3877,paŋhimásin,panghimasin
3878,pamasinbásin,pamasinbasin
3879,basiyár,basiyar
3880,basiyú,basiyu
3881,basíyu,basiyu
3882,báska,baska
3883,báska,baska
3884,báskad,baskad
3885,báskag,baskag
3886,báskit,baskit
3889,báskug,baskug
3891,baskulá,baskula
3892,báslan,baslan
3893,básŋag,basngag
3894,básnig,basnig
3895,pamásnig,pamasnig
3896,básta,basta
3900,bastabásta,bastabasta
3902,bastánti,bastanti
3903,bástar,bastar
3904,bastárda,bastarda
3905,bastárda,bastarda
3907,bastárdu,bastardu
3908,bastárdu,bastardu
3910,bástid,bastid
3911,bastidúr,bastidur
3912,bastidúr,bastidur
3913,bastiká,bastika
3914,bastipúl,bastipul
3915,bastiyán,bastiyan
3916,bástruk,bastruk
3917,bástun,bastun
3919,bastuníru,bastuniru
3920,bástus,bastus
3921,pakabástus,pakabastus
3922,bástus,bastus
3923,básu,basu
3924,binasúqan,binasuan
3925,básqug,bas-ug
3926,basúka,basuka
3927,básul,basul
3928,pagbásul,pagbasul
3929,básul,basul
3930,básul,basul
3931,básun,basun
3932,basúni,basuni
3933,basúra,basura
3934,basurahán,basurahan
3935,basuríru,basuriru
3936,básquy,bas-uy
3937,báswat,baswat
3938,básyaw,basyaw
3939,bat,bat
3940,bát,bat
3941,bát,bat
3942,bát,bat
3943,báta,bata
3944,batabáta,batabata
3945,báta,bata
3947,bátaq,bata
3950,batáq,bata
3951,pakabátaq,pakabata
3952,bataqbátaq,batabata
3953,bataqbatáq,batabata
3954,bataqbataqún,batabataun
3955,binátaq,binata
3956,binátqan,binat-an
3957,kabátaq,kabata
3958,kabátaqan,kabataan
3959,batánqun,batan-un
3960,kabatánqun,kabatan-un
3961,bataqút,bataut
3962,Bataqán,bataan
3964,batád,batad
3965,batadbátad,batadbatad
3966,bátak,batak
3967,baták,batak
3968,batakán,batakan
3969,balatakán,balatakan
3970,batakán,batakan
3972,batakbaták,batakbatak
3973,batál,batal
3975,pabatál,pabatal
3976,batalán,batalan
3977,bataliyún,bataliyun
3978,batálya,batalya
3979,batalyadúr,batalyadur
3980,batályun,batalyun
3981,batánas,batanas
3983,batáŋ,batang
3984,batáŋ,batang
3985,bátaŋ,batang
3986,pabátaŋ,pabatang
3987,bátaŋ,batang
3989,bátqaŋ,bat-ang
3990,bataŋbátaŋ,batangbatang
3991,batáŋgas,batanggas
3992,bataŋgínya,batangginya
3993,bátas,batas
3994,batásan,batasan
3995,pamatásan,pamatasan
3996,bátaw,bataw
3997,batáyan,batayan
3998,pamatáyan,pamatayan
3999,bátbat,batbat
4000,bathálaq,bathala
4001,pakabathálaq,pakabathala
4002,bulubathálaq,bulubathala
4003,báthay,bathay
4004,batíq,bati
4005,bátiq,bati
4006,batíq,bati
4007,památiq,pamati
4008,panimátiq,panimati
4009,pabatiqbátiq,pabatibati
4010,binátiq,binati
4011,balatíqan,balatian
4012,mabinatiqún,mabinatiun
4013,pagbátiq,pagbati
4014,bátiq,bati
4015,batibáti,batibati
4016,batíd,batid
4017,pakabatíd,pakabatid
4018,batíqis,batiis
4019,himatíqis,himatiis
4020,paŋhimatíqis,panghimatiis
4021,batíqisun,batiisun
4022,batikán,batikan
4023,batíkan,batikan
4024,Batikánu,batikanu
4025,batikúbra,batikubra
4026,batikúla,batikula
4027,batikúlun,batikulun
4028,batíl,batil
4029,batíl,batil
4030,batimbátim,batimbatim
4031,bátin,batin
4032,batinbátin,batinbatin
4033,bátin,batin
4034,bátinan,batinan
4035,batinán,batinan
4036,batinbátin,batinbatin
4037,bátiŋ,bating
4039,siyút,siyut
4041,batiŋáw,batingaw
4042,batiŋgílan,batinggilan
4043,batíŋgul,batinggul
4044,batiŋgulán,batinggulan
4045,kabatiŋgulán,kabatinggulan
4046,bátir,batir
4047,bátir,batir
4048,batirí,batiri
4049,batiríya,batiriya
4051,batirúl,batirul
4052,binatirúl,binatirul
4053,batís,batis
4054,batíwtiw,batiwtiw
4055,batiyáq,batiya
4056,bátsi,batsi
4057,batsihún,batsihun
4058,bátsi,batsi
4059,batsíhiq,batsihi
4060,batsílyir,batsilyir
4061,batú,batu
4064,batubalaníhun,batubalanihun
4065,bátu,batu
4066,pamatú,pamatu
4067,batubátu,batubatu
4068,binatú,binatu
4069,batuqún,batuun
4070,batú,batu
4071,batúqan,batuan
4072,batubára,batubara
4073,batúd,batud
4074,bátud,batud
4075,bátug,batug
4076,bátug,batug
4077,bátqug,bat-ug
4078,bátuk,batuk
4079,mabinátukun,mabinatukun
4080,bátuk,batuk
4081,bátuk,batuk
4082,batúl,batul
4083,batúl,batul
4084,bátul,batul
4085,bátul,batul
4086,bátqul,bat-ul
4087,kabátqul,kabat-ul
4088,batuláŋ,batulang
4089,batún,batun
4090,binatunán,binatunan
4091,binátnan,binatnan
4092,batún,batun
4093,batúŋ,batung
4094,bátun,batun
4095,bátuŋ,batung
4096,batúnis,batunis
4097,bátus,batus
4098,bátqus,bat-us
4099,batúta,batuta
4100,batuwáŋ,batuwang
4101,batúytuy,batuytuy
4102,bátwan,batwan
4103,batwánun,batwanun
4104,bátyaq,batya
4105,bátyag,batyag
4106,baqú,bau
4107,pamaqú,pamau
4108,baqúhay,bauhay
4109,baqúqay,bauay
4110,baqubaqú,baubau
4111,báqud,baud
4112,baqúg,baug
4113,baqúg,baug
4114,báqug,baug
4115,báqug,baug
4116,baqúl,baul
4117,binálqan,binal-an
4118,binaqulán,binaulan
4119,kabalqanán,kabal-anan
4120,magbabaqúl,magbabaul
4121,pamaqúl,pamaul
4122,panimaqúl,panimaul
4123,baqúl,baul
4125,baqúl,baul
4126,báqul,baul
4127,baqulú,baulu
4128,báquŋ,baung
4129,baquŋún,baungun
4130,baqúŋun,baungun
4131,báqus,baus
4132,baqút,baut
4133,báqut,baut
4134,báqut,baut
4135,báqut,baut
4136,baqúqu,bauu
4137,báwaŋ,bawang
4138,báwas,bawas
4139,báwbaw,bawbaw
4141,báwbaw,bawbaw
4142,báwbu,bawbu
4143,báwhag,bawhag
4144,bawhínya,bawhinya
4145,báwiq,bawi
4146,bawí,bawi
4147,báwis,bawis
4148,báwkag,bawkag
4149,báwnsir,bawnsir
4150,báwnus,bawnus
4151,bawtísmu,bawtismu
4152,bawúq,bawu
4153,báwqu,baw-u
4154,bawúd,bawud
4155,bawúg,bawug
4156,bawugbáwug,bawugbawug
4157,bawúgbug,bawugbug
4158,báwuk,bawuk
4159,bawukbáwuk,bawukbawuk
4160,báwun,bawun
4161,bawunás,bawunas
4162,báwund,bawund
4163,bawuŋbáwuŋ,bawungbawung
4164,bawúŋkut,bawungkut
4165,bawúnuq,bawunu
4166,bawúnus,bawunus
4167,báwut,bawut
4169,bay,bay
4170,báy,bay
4171,bayáq,baya
4172,bayáqay,bayaay
4173,bayáq,baya
4174,pabayáq,pabaya
4175,bayábas,bayabas
4176,pamayábas,pamayabas
4177,bayábasan,bayabasan
4178,binayábas,binayabas
4179,báyad,bayad
4180,balayranán,balayranan
4181,baláyran,balayran
4182,baláydan,balaydan
4183,balaydanán,balaydanan
4184,qigbaláyad,igbalayad
4185,qigbabáyad,igbabayad
4186,kabayáran,kabayaran
4187,panimáyad,panimayad
4191,báyqad,bay-ad
4192,bayámban,bayamban
4193,bayanán,bayanan
4194,bayáŋ,bayang
4195,báyaŋ,bayang
4196,bayáŋ,bayang
4197,báyaŋ,bayang
4198,báyqaŋ,bay-ang
4199,bayáŋqaŋ,bayang-ang
4200,bayaŋbáyaŋ,bayangbayang
4201,bayáni,bayani
4202,bayaníhun,bayanihun
4203,bayqánsil,bay-ansil
4204,báyas,bayas
4206,bayát,bayat
4207,báyat,bayat
4208,kabayatbayát,kabayatbayat
4209,bayáw,bayaw
4210,báyaw,bayaw
4211,bayáyat,bayayat
4212,báybay,baybay
4213,pamáybay,pamaybay
4214,baybayún,baybayun
4215,kabaybayúnan,kabaybayunan
4216,báybay,baybay
4217,báyhun,bayhun
4218,pamáyhun,pamayhun
4219,bayí,bayi
4220,báyi,bayi
4221,bayhána,bayhana
4222,babáyi,babayi
4223,babayhána,babayhana
4225,pababáyi,pababayi
4226,pamabáyi,pamabayi
4227,himabayí,himabayi
4228,himayí,himayi
4229,paŋhimabayí,panghimabayi
4230,binabáyi,binabayi
4231,binabayí,binabayi
4233,makibabáyi,makibabayi
4234,babayínqun,babayin-un
4235,bayínqan,bayin-an
4236,babayínqan,babayin-an
4237,tagbayínqan,tagbayin-an
4238,tagbabayínqan,tagbabayin-an
4239,tagbayí,tagbayi
4240,kababayínqan,kababayin-an
4241,baláyi,balayi
4242,binaláyi,binalayi
4243,pamaláyi,pamalayi
4244,babayíru,babayiru
4245,bayibáyi,bayibayi
4246,bayibáyi,bayibayi
4247,bayín,bayin
4248,bayiŋbayíŋ,bayingbaying
4249,bayínti,bayinti
4250,bayintihún,bayintihun
4251,dyabayínti,dyabayinti
4253,dus,dus
4254,trís,tris
4257,bayntisiŋkuhún,bayntisingkuhun
4259,báykarb,baykarb
4260,baykawún,baykawun
4261,baykawúnt,baykawunt
4262,baylákag,baylakag
4263,báylan,baylan
4264,báyli,bayli
4265,baylíhan,baylihan
4266,baylihánan,baylihanan
4267,baylirína,baylirina
4268,báylu,baylu
4269,bayluqáy,bayluay
4270,baylúqay,bayluay
4271,báyna,bayna
4272,baytamíns,baytamins
4273,bayú,bayu
4274,báyu,bayu
4275,binayú,binayu
4276,báyu,bayu
4277,bayuqbáyuq,bayubayu
4278,báyud,bayud
4279,bayúdaŋ,bayudang
4280,báyqug,bay-ug
4281,bayugbayúg,bayugbayug
4282,bayúgbug,bayugbug
4283,bayukáwi,bayukawi
4284,bayukbáyuk,bayukbayuk
4285,bayúkbuk,bayukbuk
4286,bayukút,bayukut
4287,bayulín,bayulin
4288,bayulinísta,bayulinista
4289,bayulít,bayulit
4290,bayúmbu,bayumbu
4291,bayúŋ,bayung
4292,bayuŋbáyuŋ,bayungbayung
4293,báyuŋ,bayung
4294,bayuŋád,bayungad
4295,bayuníta,bayunita
4296,binayuníta,binayunita
4297,bayúpsi,bayupsi
4298,bayúraŋ,bayurang
4299,báyut,bayut
4300,pamáyut,pamayut
4301,bayutún,bayutun
4302,báyuti,bayuti
4303,bayuqúk,bayuuk
4304,bayúquk,bayuuk
4305,bayúqus,bayuus
4306,baywantíkwan,baywantikwan
4307,bi,bi
4308,bi,bi
4309,bí,bi
4310,biqás,bias
4311,bíqaw,biaw
4312,biqáw,biaw
4313,biqawán,biawan
4314,biqaybíqay,biaybiay
4315,mabiqaybiqáyun,mabiaybiayun
4316,biqáypi,biaypi
4317,bíba,biba
4318,bibahút,bibahut
4319,kabíba,kabiba
4320,bíbi,bibi
4321,bibihán,bibihan
4322,bíbi,bibi
4323,bíbi,bibi
4324,bibíŋka,bibingka
4327,bibirún,bibirun
4328,bibisítir,bibisitir
4329,bibliyá,bibliya
4330,biblíya,bibliya
4331,bibliyutiká,bibliyutika
4332,bibliyutíka,bibliyutika
4333,bíbu,bibu
4334,bíbut,bibut
4335,bída,bida
4336,bída,bida
4337,bídbid,bidbid
4338,pamídbid,pamidbid
4339,bídiŋ,biding
4341,bídiŋ,biding
4342,bídiŋs,bidings
4343,bidiyúq,bidiyu
4344,bídlak,bidlak
4345,bídliq,bidli
4346,bidlísiw,bidlisiw
4347,bídsit,bidsit
4348,bidsiyít,bidsiyit
4349,bíduk,biduk
4350,bídyuq,bidyu
4351,pamídyuq,pamidyu
4352,bígaq,biga
4353,bígaq,biga
4354,pamígaq,pamiga
4355,pabígaq,pabiga
4356,bigáqun,bigaun
4357,bigál,bigal
4358,biligalún,biligalun
4359,bigámya,bigamya
4360,bigátlaq,bigatla
4361,bigátlun,bigatlun
4362,bigáy,bigay
4363,bigíw,bigiw
4364,bigiwbígiw,bigiwbigiw
4365,bígkas,bigkas
4366,bígkiŋ,bigking
4367,bígniq,bigni
4368,bígsaq,bigsa
4369,bígsyat,bigsyat
4370,bígtas,bigtas
4371,bígtiŋ,bigting
4372,bigúk,biguk
4373,bigúnya,bigunya
4377,bigút,bigut
4378,bigút,bigut
4379,bígut,bigut
4380,bigút,bigut
4381,bígut,bigut
4382,bigúti,biguti
4383,pabúti,pabuti
4384,bigutíhun,bigutihun
4385,bigútilyu,bigutilyu
4386,bígwis,bigwis
4387,bígwis,bigwis
4388,pamígwis,pamigwis
4389,bíhag,bihag
4390,bihág,bihag
4391,bihagáy,bihagay
4392,makabibíhag,makabibihag
4393,mabíhagun,mabihagun
4394,mamimíhag,mamimihag
4395,bíhiq,bihi
4396,bihiqbihíq,bihibihi
4397,bihihíq,bihihi
4398,bihikulú,bihikulu
4399,bihílya,bihilya
4400,bíhis,bihis
4401,pamíhis,pamihis
4402,bíhu,bihu
4403,bíhud,bihud
4404,pamíhud,pamihud
4405,bídhan,bidhan
4406,tiŋpamíhud,tingpamihud
4407,bihúku,bihuku
4408,bíhun,bihun
4409,bíqi,bii
4410,bíka,bika
4411,bikabiká,bikabika
4412,bíkag,bikag
4413,bikág,bikag
4414,bikáqkaq,bikaka
4415,bikáqkaq,bikaka
4416,bikáŋ,bikang
4417,bikáŋ,bikang
4418,bíkaŋ,bikang
4419,binikáŋ,binikang
4420,bikáŋkaŋ,bikangkang
4421,bikarbunátu,bikarbunatu
4422,bikáryu,bikaryu
4423,bikíl,bikil
4424,bikíl,bikil
4425,biklunún,biklunun
4426,biklúnun,biklunun
4427,bikilúnun,bikilunun
4428,bíkiŋ,biking
4429,bíkiŋ,biking
4431,bikíni,bikini
4432,bikirí,bikiri
4433,biks,biks
4435,biks,biks
4436,biktimá,biktima
4437,bikturí,bikturi
4438,biktúrya,bikturya
4439,bikturyúsu,bikturyusu
4440,bíku,biku
4441,bikubíku,bikubiku
4442,bíku,biku
4443,bikúg,bikug
4444,bíkug,bikug
4445,bíkug,bikug
4447,bikúg,bikug
4448,bíkul,bikul
4449,bikusbikús,bikusbikus
4450,kabikusbikús,kabikusbikus
4451,bíkwad,bikwad
4452,bíkwaŋ,bikwang
4453,bíkwiŋ,bikwing
4454,bíla,bila
4455,bilahán,bilahan
4456,bilabilá,bilabila
4457,bílaq,bila
4458,biláqan,bilaan
4459,kabílaq,kabila
4460,kabiláqan,kabilaan
4461,bílad,bilad
4462,biladbilád,biladbilad
4463,biláda,bilada
4464,biláda,bilada
